Venue,Date,Submitted,Accepted,Rate,Source
CHI papers,2011,1012,306,30.24%,(SH) url?
CHI notes,2011,514,103,20.04%,(SH) url?
InfoVis,2011,172,44,25.58%,(SH) url?
InfoVis,2012,178,44,24.72%,Notification email (SH)
InfoVis,2010,135,35,26%,eagereyes.org/acceptance-rates
InfoVis,2009,141,37,26%,eagereyes.org/acceptance-rates
InfoVis,2008,107,28,26%,eagereyes.org/acceptance-rates
InfoVis,2007,116,27,23%,eagereyes.org/acceptance-rates
InfoVis,2006,104,24,23%,eagereyes.org/acceptance-rates
InfoVis,2005,114,31,27%,eagereyes.org/acceptance-rates
InfoVis,2004,89,27,30%,eagereyes.org/acceptance-rates
InfoVis,2003,90,29,32%,eagereyes.org/acceptance-rates
InfoVis,2002,78,23,30%,eagereyes.org/acceptance-rates
InfoVis,2001,63,22,35%,eagereyes.org/acceptance-rates
InfoVis,2000,?,20,?,eagereyes.org/acceptance-rates
InfoVis,1999,47,19,40%,eagereyes.org/acceptance-rates
InfoVis,1998,?,18,?,eagereyes.org/acceptance-rates
InfoVis,1997,27,16,59%,eagereyes.org/acceptance-rates
InfoVis,1996,34,19,56%,eagereyes.org/acceptance-rates
InfoVis,1995,37,18,49%,eagereyes.org/acceptance-rates
SciVis,2011,194,49,25.26%,(SH) url?
SciVis,2010,185,49,26%,eagereyes.org/acceptance-rates
SciVis,2009,202,54,27%,eagereyes.org/acceptance-rates
SciVis,2008,197,50,25%,eagereyes.org/acceptance-rates
SciVis,2007,216,56,26%,eagereyes.org/acceptance-rates
SciVis,2006,228,63,28%,eagereyes.org/acceptance-rates
SciVis,2005,268,88,33%,eagereyes.org/acceptance-rates
SciVis,2004,167,46,28%,eagereyes.org/acceptance-rates
SciVis,2003,192,63,33%,eagereyes.org/acceptance-rates
SciVis,2002,172,58,34%,eagereyes.org/acceptance-rates
SciVis,2001,152,51,34%,eagereyes.org/acceptance-rates
SciVis,2000,151,52,34%,eagereyes.org/acceptance-rates
SciVis,1999,129,47,36%,eagereyes.org/acceptance-rates
SciVis,1998,118,50,42%,eagereyes.org/acceptance-rates
SciVis,1997,170,44,26%,eagereyes.org/acceptance-rates
SciVis,1996,101,43,43%,eagereyes.org/acceptance-rates
SciVis,1995,102,41,40%,eagereyes.org/acceptance-rates
SciVis,1994,91,41,45%,eagereyes.org/acceptance-rates
SciVis,1993,?,41,?,eagereyes.org/acceptance-rates
SciVis,1992,?,44,?,eagereyes.org/acceptance-rates
SciVis,1991,?,41,?,eagereyes.org/acceptance-rates
SciVis,1990,?,45,?,eagereyes.org/acceptance-rates
EuroVis,2015,160,51,32%,EuroVis opening session
EuroVis,2014,161,42,26.09%,Bilal (url?)
EuroVis,2013,177,49,27.68%,Bilal (url?)
EuroVis,2012,202,52,25.74%,Bilal (url?)
EuroVis,2011,194,54,27.84%,Bilal (url?)
EuroVis,2010,164,48,29.27%,eagereyes.org/acceptance-rates
EuroVis,2009,143,41,28.67%,eagereyes.org/acceptance-rates
EuroVis,2008,143,45,31.47%,eagereyes.org/acceptance-rates
EuroVis,2007,93,35,37.63%,eagereyes.org/acceptance-rates
EuroVis,2006,98,43,43.88%,eagereyes.org/acceptance-rates
EuroVis,2005,102,36,35.29%,eagereyes.org/acceptance-rates
EuroVis,2004,82,39,47.56%,eagereyes.org/acceptance-rates
EuroVis,2003,62,30,48.39%,eagereyes.org/acceptance-rates
EuroVis,2002,80,31,38.75%,eagereyes.org/acceptance-rates
EuroVis,2001,68,33,48.53%,eagereyes.org/acceptance-rates
EuroVis,2000,66,27,40.91%,eagereyes.org/acceptance-rates
